TERYT Powiatu,Powiat,Bezpartyjni,TD,Lewica,PiS,Konfederacja,KO
142100,pruszkowski,1.9990632318501171,16.4711943793911,7.462295081967213,28.298829039812645,6.557377049180328,39.211241217798595
142000,płoński,2.390768541339906,15.821196504593324,5.7920681156172975,47.891552767196956,6.7667488236612146,21.337665247591307
141900,płocki,2.5514587127590116,21.066286381911276,5.197415896360949,48.43132538400742,6.742036356138964,16.01147726882238
141800,piaseczyński,1.9014550264550265,15.537367724867726,7.7719907407407405,27.127149470899468,6.820436507936507,40.84160052910053
141700,otwocki,2.5693611422822427,15.623831082562653,6.207999587251222,38.25923202930516,7.456564640328136,29.88301151827058
141600,ostrowski,1.4942741530242523,15.577477453651053,5.006479595884795,54.642828806431986,7.675015207214832,15.603924783793078
141500,ostrołęcki,2.1199259493385108,14.259267620896734,4.657515690612724,55.59217952770127,9.868153700275432,13.502957511175328
141400,nowodworski,2.3565301971880803,14.59014943850031,7.217702714652047,37.726589442037316,6.833053320364312,31.275974887257934
141300,mławski,1.3977723864137628,16.77878253198059,5.679311865902073,48.191442434936036,7.443758270842523,20.50893250992501
141200,miński,2.0749867321560505,15.461460815634204,6.124020520931975,39.0563701260185,7.769233170650488,29.51392863460878
141100,makowski,2.854039965247611,19.12684622067767,4.100781928757602,52.05907906168549,7.4543874891398785,14.404865334491745
141000,łosicki,1.3209704051822686,16.334307125619205,4.7186587069732,58.1671535628096,9.335704305855455,10.12320589356027
140900,lipski,2.527420123986648,13.83524082021936,5.621125417262756,57.427277062470196,7.057701478302336,13.531235097758703
140800,legionowski,2.292573607068339,14.660879420931968,7.327219803714484,29.231601452821927,6.569897735761572,39.917827979701705
140700,kozienicki,1.5671058172411718,14.221259700415088,5.047223726162546,52.027311556277446,7.209889911568309,19.92720928833544
140600,grójecki,1.4810207443768282,21.487408802071077,6.831859597216152,41.12564300843896,7.403422654069865,21.670645193827117
140500,grodziski,2.2670766814969903,16.891847683852397,7.1120125621565045,29.43437581784873,7.406438105208061,36.88824914943732
140400,gostyniński,2.1540975148336057,14.029581219365381,5.129417834723536,48.99819416974805,6.3161062860091155,23.37260297532032
140300,garwoliński,1.829596412556054,14.842233999184673,3.9820627802690587,56.771300448430495,8.345699143905422,14.229107215654302
140200,ciechanowski,1.751958446866485,15.039594686648503,6.594856948228883,47.513623978201636,6.867336512261581,22.232629427792915
140100,białobrzeski,1.4592772099884102,13.122958592350647,4.346222737330102,57.90749130755452,7.486039405752819,15.678010747023496
126300,Tarnów,1.2538033784492708,21.097821145035496,5.531074039100479,37.69978666107089,6.623998880844963,27.7935158954989
126200,Nowy Sącz,2.065329512893983,11.860171919770773,4.378223495702006,44.602865329512895,8.479083094555874,28.614326647564468
126100,Kraków,1.4144087555926876,17.616483411493746,13.154529949973268,25.401016796866266,7.606868359159812,34.80669272691422
121900,wielicki,1.468853457133072,22.370206882555145,5.455560206502024,37.616855029998604,8.445273158542308,24.643251265268844
121800,wadowicki,1.9171532343340534,16.238333869707137,5.161831639924601,44.69104868741667,8.073192037147717,23.918440531469816
121700,tatrzański,2.732819690780288,12.549769895030765,4.1677439371218785,47.06810072909665,8.366513263353845,25.11505248461658
121600,tarnowski,1.6627474034881442,16.787184009406232,3.259847148736038,57.534783460709384,8.346070938663532,12.409367038996669
121500,suski,1.5051569760852317,13.342400544032643,4.311458687521251,51.839510370622236,9.323359401564094,19.678114020174544
121400,proszowicki,1.1875747773297294,20.521114902290954,4.072317986440377,54.23848983028316,8.45482341472061,11.525679088935172
121300,oświęcimski,2.286056113352726,14.26879046636014,8.243408088580276,39.22187294735854,6.990710331237684,28.989162053110633
121200,olkuski,2.4244204068980144,14.711304716688693,10.143083223206565,42.433883151420225,7.214526944349273,23.072781557437228
121100,nowotarski,2.8271869545042754,11.084473120180304,3.2912035707183422,55.25001657202201,9.692423271538104,17.854696511036966
121000,nowosądecki,3.0137057870813817,10.194876438933491,2.779470925271242,61.64556521133383,9.629752181257729,12.736629456122325
120900,myślenicki,1.4963908939478068,17.0988339811216,3.8173237090505276,50.60244308717379,9.73070516379789,17.254303164908386
120800,miechowski,1.6230304466295462,15.30624333609762,6.057734075741421,54.104963866840414,7.803182877226238,15.104845397464755
120700,limanowski,2.2084675155848377,14.227257954914762,2.5984577658285817,62.343782314533044,8.950571690253199,9.671462758885575
120600,krakowski,1.525739784215951,16.76347756668037,6.654632327095733,40.37044318540628,8.707619166770925,25.978087969830742
120500,gorlicki,2.1641418345263856,14.958474372491354,3.9620442816713832,53.48759780256368,8.27738009359451,17.150361615152693
120400,dąbrowski,1.411911397975649,15.53835998239695,2.55977702801819,63.227959512982245,7.257591315828077,10.004400762798884
120300,chrzanowski,1.654856740460367,14.799818083124276,8.604374807446856,36.18238633862946,6.81748162492848,31.941082405410558
120200,brzeski,1.3374507507187734,17.201575976999255,3.575764029389841,54.066659567671174,9.532531146842722,14.286018528378234
120100,bocheński,1.1995692991015847,19.263770651771594,3.474208418856624,53.215114909653764,8.26743833910966,14.579898381506782
106300,Skierniewice,1.8770512962348342,16.015783456872075,10.144927536231885,33.72423203156691,6.825976324814692,31.412029354279603
106200,Piotrków Trybunalski,1.4492010157231898,12.499038140918769,8.39510606099469,36.322363864878035,6.09946905378716,35.23482186369816
106100,Łódź,1.1975045765736074,11.755421727074006,12.979703443179682,25.18724687235286,5.3693314211709335,43.51079195964891
102100,brzeziński,1.7935432443204464,14.365427318795193,7.766326937311393,45.57307976997097,7.396230712292888,23.105392017309114
102000,zgierski,1.6733191643771708,13.650925301954278,9.516354776838941,33.951583640039395,6.846716085221087,34.36110103156913
101900,zduńskowolski,1.4039275868928864,16.554409298888796,5.610026430215704,40.6172734248444,6.380197231932248,29.434166027225967
101800,wieruszowski,1.5781857646739623,17.88007596997377,7.280455819842634,44.33390612281812,8.795333273039702,20.132043049651806
101700,wieluński,1.4190418435415404,15.987871437234688,6.338386901152214,47.03941782898727,6.454821103699211,22.76046088538508
